IP: 122.15.146.122 TIME: 2016-09-20 10:41:35 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action : Admin Login
IP: 122.15.146.122 TIME: 2016-09-20 10:41:35 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Order Page
IP: 122.15.146.122 TIME: 2016-09-20 10:44:07 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-09-20 10:44:36 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Order Page
IP: 122.15.146.122 TIME: 2016-09-20 10:44:56 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-09-20 10:48:32 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action : PO-NO590Inserted
IP: 122.15.146.122 TIME: 2016-09-20 10:48:39 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action : PO-NO590Inserted
IP: 122.15.146.122 TIME: 2016-09-20 10:48:45 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-09-20 10:48:49 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Order Page
IP: 122.15.146.122 TIME: 2016-09-20 10:49:17 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-09-20 10:49:26 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-09-20 10:49:45 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36Action :Order Page
