IP: 122.15.146.122 TIME: 2016-12-15 10:59:55 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36Action : Admin Login
IP: 122.15.146.122 TIME: 2016-12-15 10:59:55 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 11:00:06 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 13:16:27 User:  USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 13:16:30 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action : Admin Login
IP: 122.15.146.122 TIME: 2016-12-15 13:16:30 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 13:17:17 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-12-15 13:17:18 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Purchase Duplicate Page
IP: 122.15.146.122 TIME: 2016-12-15 13:17:55 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action : PO-NO894Inserted
IP: 122.15.146.122 TIME: 2016-12-15 13:17:55 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 13:17:57 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Order Page
IP: 122.15.146.122 TIME: 2016-12-15 13:17:59 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action :Purchase Edit Page
IP: 122.15.146.122 TIME: 2016-12-15 13:18:11 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0Action : PO-NO894Inserted
