IP: 122.15.146.120 TIME: 2017-11-18 09:00:23 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-11-18 09:00:24 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-18 10:42:28 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : Admin Login
IP: 122.15.146.120 TIME: 2017-11-18 10:42:28 User: Menaka USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 122.15.146.120 TIME: 2017-11-18 10:48:00 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase New Page
IP: 122.15.146.120 TIME: 2017-11-18 10:48:05 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Invoice New Page
IP: 122.15.146.120 TIME: 2017-11-18 10:48:32 User: Preethi USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:00:14 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action : Admin Login
IP: 106.203.77.30 TIME: 2017-11-18 12:00:14 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:00:31 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase Duplicate Page
IP: 106.203.77.30 TIME: 2017-11-18 12:00:40 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:01:12 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase Duplicate Page
IP: 106.203.77.30 TIME: 2017-11-18 12:01:17 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Order Page
IP: 106.203.77.30 TIME: 2017-11-18 12:09:25 User: Anisa USERAGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36Action :Purchase Duplicate Page
